HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,HomeWinStreak,AwayWinStreak,TGSH,TGSA,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
West Ham,QPR,2,0,2,7,0,1,0,Win,A Taylor,1.91,3.6,4.5,1.95,3.4,4.25
Arsenal,Hull,2,2,0,7,0,1,0,Draw,R East,1.4,5.0,9.0,1.44,4.33,7.0
Burnley,West Ham,1,3,-2,0,1,0,0,Loss,K Friend,2.8,3.4,2.7,2.8,3.2,2.7
Crystal Palace,Chelsea,1,2,-1,0,2,0,0,Loss,C Pawson,8.5,4.75,1.44,7.0,4.25,1.44
Everton,Aston Villa,3,0,3,1,0,0,0,Win,A Taylor,1.6,4.0,6.5,1.62,3.7,5.5
Man City,Tottenham,4,1,3,2,0,0,0,Win,J Moss,1.45,4.75,8.0,1.5,4.33,7.0
Newcastle,Leicester,1,0,1,3,0,1,0,Win,M Atkinson,2.25,3.6,3.3,2.2,3.3,3.25
Southampton,Sunderland,8,0,8,4,0,1,0,Win,A Marriner,1.57,4.0,7.0,1.62,3.75,5.25
QPR,Liverpool,2,3,-1,0,1,0,0,Loss,P Dowd,6.0,4.2,1.6,5.75,4.0,1.62
Stoke,Swansea,2,1,1,1,0,0,0,Win,M Oliver,2.5,3.3,3.1,2.5,3.25,3.0
West Brom,Man United,2,2,0,1,0,0,0,Draw,M Dean,5.0,4.0,1.75,4.5,4.1,1.75
Liverpool,Hull,0,0,0,1,0,0,0,Draw,N Swarbrick,1.44,4.75,8.0,1.45,4.25,7.0
Southampton,Stoke,1,0,1,2,0,0,0,Win,J Moss,1.65,4.0,6.0,1.65,3.75,6.0
Sunderland,Arsenal,0,2,-2,0,1,0,0,Loss,K Friend,5.5,3.8,1.73,5.25,3.7,1.72
Swansea,Leicester,2,0,2,1,0,0,0,Win,M Jones,1.95,3.7,4.2,1.95,3.6,4.0
West Brom,Crystal Palace,2,2,0,1,0,0,0,Draw,M Clattenburg,1.91,3.6,4.5,1.91,3.4,4.0
West Ham,Man City,2,1,1,2,0,0,0,Win,M Atkinson,6.5,4.5,1.55,6.0,4.2,1.57
Burnley,Everton,1,3,-2,0,1,0,0,Loss,A Marriner,4.75,3.75,1.83,4.6,3.6,1.85
Man United,Chelsea,1,1,0,0,1,0,0,Draw,P Dowd,2.88,3.6,2.5,2.75,3.5,2.55
Tottenham,Newcastle,1,2,-1,0,2,0,0,Loss,A Taylor,1.75,3.9,5.0,1.8,3.75,4.6
QPR,Aston Villa,2,0,2,1,0,0,0,Win,L Mason,2.38,3.25,3.4,2.4,3.3,3.1
Arsenal,Burnley,3,0,3,2,0,0,0,Win,C Pawson,1.25,6.5,14.0,1.28,5.5,9.5
Chelsea,QPR,2,1,1,3,0,1,0,Win,M Jones,1.17,8.5,21.0,1.18,6.25,15.0
Everton,Swansea,0,0,0,3,0,1,0,Draw,K Friend,1.75,3.8,5.25,1.75,3.6,4.5
Hull,Southampton,0,1,-1,0,1,0,0,Loss,M Atkinson,3.8,3.6,2.05,3.6,3.3,2.05
Leicester,West Brom,0,1,-1,0,2,0,0,Loss,S Attwell,2.3,3.5,3.3,2.3,3.3,3.0
Newcastle,Liverpool,1,0,1,1,0,0,0,Win,A Marriner,3.8,3.75,2.0,3.75,3.5,2.05
Stoke,West Ham,2,2,0,1,0,0,0,Draw,C Foy,2.38,3.4,3.25,2.4,3.2,2.95
Aston Villa,Tottenham,1,2,-1,0,1,0,0,Loss,N Swarbrick,3.75,3.6,2.1,3.6,3.5,2.1
Man City,Man United,1,0,1,1,0,0,0,Win,M Oliver,1.91,3.75,4.33,1.91,3.75,4.0
