Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Burnley,0,1,1,0,0,0,Draw,K Friend,9.0,5.0,1.4,7.75,4.6,1.42
Swansea,1,3,1,2,1,0,Win,N Swarbrick,1.25,6.5,15.0,1.22,6.25,14.0
West Ham,0,1,2,1,2,0,Win,A Marriner,6.0,4.1,1.62,5.75,4.0,1.6
Stoke,0,1,2,1,3,1,Win,A Taylor,6.5,4.0,1.62,5.5,4.1,1.6
Crystal Palace,1,1,2,-1,0,0,Loss,C Pawson,1.3,5.75,12.0,1.26,5.75,11.5
Man City,1,2,1,1,1,0,Win,M Dean,2.4,3.5,3.1,2.3,3.4,3.1
Bournemouth,0,1,3,2,2,0,Win,A Marriner,6.5,4.0,1.6,6.25,4.1,1.55
Man United,0,2,0,-2,0,0,Loss,R Madley,2.55,3.2,2.8,2.6,3.1,2.75
Southampton,1,4,2,2,1,0,Win,L Mason,1.45,4.6,8.5,1.42,4.5,8.0
Everton,0,0,3,3,2,0,Win,J Moss,3.5,3.6,2.0,3.75,3.3,2.0
Middlesbrough,1,3,0,3,3,1,Win,C Pawson,1.17,9.0,19.0,1.17,7.5,17.0
West Brom,0,0,1,1,4,1,Win,M Oliver,10.0,5.25,1.36,8.5,5.0,1.36
Watford,1,4,3,1,5,1,Win,L Mason,1.25,6.75,13.0,1.25,6.5,10.0
Sunderland,1,5,1,4,6,1,Win,N Swarbrick,1.14,9.0,23.0,1.15,8.25,16.5
Burnley,1,2,3,-1,0,0,Loss,C Pawson,1.25,6.5,15.0,1.22,6.5,12.5
Tottenham,0,1,2,1,1,0,Win,A Taylor,2.1,3.6,3.75,2.0,3.5,3.75
Everton,1,2,0,2,2,0,Win,J Moss,1.45,4.5,8.5,1.42,4.6,8.0
Leicester,0,1,2,1,3,1,Win,L Mason,4.75,3.9,1.8,4.6,3.8,1.75
Arsenal,1,0,0,0,0,0,Draw,M Oliver,1.8,4.0,4.5,1.75,4.0,4.4
Stoke,0,0,4,4,1,0,Win,M Dean,6.0,4.1,1.62,5.75,4.0,1.6
Man City,1,0,1,-1,0,0,Loss,M Atkinson,2.75,3.3,2.5,2.75,3.5,2.5
Crystal Palace,0,2,1,-1,0,0,Loss,A Marriner,9.0,5.0,1.4,9.0,5.0,1.36
Watford,1,4,2,2,1,0,Win,J Moss,1.36,5.25,10.0,1.35,5.0,9.25
Bournemouth,0,0,1,1,2,0,Win,C Pawson,6.0,4.2,1.61,5.25,4.2,1.62
Man United,1,1,0,1,3,1,Win,A Taylor,2.5,3.2,3.2,2.45,3.2,3.0
West Brom,0,0,4,4,4,1,Win,J Moss,6.5,4.0,1.61,5.75,4.0,1.6
Liverpool,0,1,1,0,0,0,Draw,M Oliver,2.14,3.6,3.5,2.15,3.5,3.3
Swansea,1,1,0,1,1,0,Win,N Swarbrick,1.18,8.0,17.0,1.19,6.75,16.5
Newcastle,1,3,1,2,2,0,Win,K Friend,1.25,6.5,15.0,1.25,6.25,11.5
West Ham,0,1,0,-1,0,0,Loss,A Taylor,7.5,4.5,1.5,7.25,4.5,1.45
Huddersfield,0,1,3,2,1,0,Win,A Marriner,9.0,4.5,1.44,8.5,4.33,1.42
Southampton,1,1,0,1,2,0,Win,R East,1.39,5.0,9.0,1.36,5.0,8.5
Everton,0,0,0,0,0,0,Draw,R Madley,6.0,3.89,1.66,6.0,3.75,1.62
Brighton,1,2,0,2,1,0,Win,M Dean,1.19,7.5,17.0,1.18,7.0,17.0
Stoke,1,5,0,5,2,0,Win,K Friend,1.16,8.5,19.0,1.16,7.5,18.5
Arsenal,0,2,2,0,0,0,Draw,A Taylor,2.6,3.39,2.6,2.7,3.4,2.6
Leicester,1,0,0,0,0,0,Draw,M Jones,1.3,5.75,12.0,1.26,5.75,11.5
Brighton,0,0,4,4,1,0,Win,J Moss,6.5,3.89,1.61,6.0,3.8,1.6
Bournemouth,1,0,3,-3,0,0,Loss,L Probert,1.28,6.5,11.0,1.26,6.0,11.0
Watford,0,4,1,-3,0,0,Loss,M Dean,6.25,4.0,1.61,6.0,4.0,1.57
West Brom,1,3,0,3,1,0,Win,L Mason,1.36,4.75,8.0,1.35,5.0,9.0
Man United,0,2,1,-1,0,0,Loss,M Atkinson,2.29,3.25,3.5,2.2,3.25,3.5
Man City,0,1,0,-1,0,0,Loss,M Oliver,1.61,4.2,6.0,1.6,4.1,5.5
Crystal Palace,1,2,1,1,1,0,Win,A Taylor,1.3,5.75,12.0,1.3,5.5,10.5
Tottenham,1,1,3,-2,0,0,Loss,A Marriner,2.29,3.29,3.1,2.35,3.25,3.2
West Ham,1,1,1,0,0,0,Draw,K Friend,1.28,6.0,12.0,1.28,5.75,11.0
Southampton,0,2,3,1,1,0,Win,M Dean,4.5,3.75,1.85,4.5,3.5,1.85
Burnley,0,1,2,1,2,0,Win,R Madley,4.0,3.39,1.9,4.1,3.5,1.91
Swansea,0,0,1,1,3,1,Win,J Moss,7.0,4.33,1.53,7.0,4.2,1.5
Liverpool,1,1,0,1,4,1,Win,A Taylor,2.25,3.6,3.29,2.15,3.5,3.3
Huddersfield,1,1,1,0,0,0,Draw,L Mason,1.16,8.5,19.0,1.18,7.25,15.5
Newcastle,0,3,0,-3,0,0,Loss,M Atkinson,6.5,4.2,1.6,6.5,4.1,1.53
Huddersfield,0,0,3,3,1,0,Win,C Kavanagh,6.5,4.0,1.61,6.25,3.9,1.57
