Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Fulham,0,0,2,2,7,1,Win,K Friend,21.0,11.0,1.12,18.0,9.25,1.13
Cardiff,1,2,0,2,8,1,Win,J Moss,1.06,17.0,34.0,1.06,13.0,36.0
Crystal Palace,0,1,3,2,9,1,Win,M Atkinson,11.0,6.0,1.3,10.0,5.5,1.3
Tottenham,1,1,0,1,10,1,Win,M Oliver,1.3,6.0,11.0,1.28,6.0,10.0
Man United,0,0,2,2,11,1,Win,A Marriner,7.5,5.0,1.44,7.0,4.75,1.44
Burnley,0,0,1,1,12,1,Win,P Tierney,23.0,9.0,1.14,18.5,8.0,1.15
Leicester,1,1,0,1,13,1,Win,M Dean,1.12,8.5,17.0,1.14,8.75,17.0
Brighton,0,1,4,3,14,1,Win,M Oliver,19.0,8.5,1.16,17.5,8.75,1.14
West Ham,0,0,5,5,1,0,Win,M Dean,12.0,6.5,1.22,11.5,5.75,1.26
Tottenham,1,2,2,0,0,0,Draw,M Oliver,1.36,5.25,8.0,1.35,5.5,7.75
Bournemouth,0,1,3,2,1,0,Win,A Marriner,15.0,7.5,1.16,13.5,7.0,1.2
Brighton,1,4,0,4,2,0,Win,J Moss,1.08,10.0,26.0,1.07,11.5,31.0
Norwich,0,3,2,-1,0,0,Loss,K Friend,15.0,9.0,1.14,14.5,8.5,1.16
Watford,1,8,0,8,1,0,Win,M Dean,1.1,11.0,21.0,1.11,10.5,17.5
Everton,0,1,3,2,2,0,Win,M Oliver,10.0,5.5,1.3,9.75,6.0,1.28
Wolves,1,0,2,-2,0,0,Loss,C Pawson,1.12,9.0,21.0,1.13,9.0,19.5
Crystal Palace,0,0,2,2,1,0,Win,A Taylor,12.0,7.0,1.22,12.5,6.5,1.22
Aston Villa,1,3,0,3,2,0,Win,G Scott,1.08,11.0,26.0,1.09,11.0,23.0
Southampton,1,2,1,1,3,1,Win,L Mason,1.07,13.0,23.0,1.09,11.0,23.0
Liverpool,0,3,1,-2,0,0,Loss,M Oliver,2.5,3.6,2.62,2.65,3.6,2.55
Chelsea,1,2,1,1,1,0,Win,M Atkinson,1.44,5.0,6.5,1.45,5.0,6.25
Newcastle,0,2,2,0,0,0,Draw,C Kavanagh,13.0,8.0,1.16,15.0,7.25,1.18
Burnley,0,1,4,3,1,0,Win,J Moss,11.0,7.0,1.22,11.5,6.25,1.25
Man United,1,1,2,-1,0,0,Loss,A Taylor,1.3,5.5,10.0,1.3,5.75,9.25
Arsenal,0,0,3,3,1,0,Win,P Tierney,6.0,5.25,1.44,6.25,5.5,1.42
Leicester,1,3,1,2,2,0,Win,M Dean,1.36,5.25,7.5,1.36,5.5,7.5
Wolves,0,3,2,-1,0,0,Loss,M Atkinson,8.5,5.0,1.36,7.5,5.0,1.4
Sheffield United,1,2,0,2,1,0,Win,C Kavanagh,1.16,7.5,16.0,1.18,7.5,15.0
Everton,1,2,1,1,2,0,Win,A Marriner,1.25,6.5,10.0,1.26,6.25,10.5
Aston Villa,0,1,6,5,3,1,Win,J Moss,13.0,8.5,1.16,14.0,8.5,1.16
Crystal Palace,1,2,2,0,0,0,Draw,S Scott,1.1,11.0,19.0,1.11,9.75,23.0
Sheffield United,0,0,1,1,1,0,Win,L Mason,7.0,5.0,1.4,7.25,4.75,1.44
Tottenham,0,2,0,-2,0,0,Loss,M Dean,5.5,4.6,1.53,5.75,4.5,1.53
West Ham,1,2,0,2,1,0,Win,K Friend,1.12,9.5,17.0,1.13,9.0,18.0
Leicester,0,0,1,1,2,0,Win,P Tierney,4.5,4.2,1.7,4.5,4.2,1.7
Man United,0,2,0,-2,0,0,Loss,M Dean,5.0,4.33,1.6,5.0,4.25,1.62
Arsenal,1,3,0,3,1,0,Win,A Taylor,1.36,5.25,7.5,1.34,5.25,8.25
Burnley,1,5,0,5,2,0,Win,A Marriner,1.12,9.0,15.0,1.15,9.0,15.0
Chelsea,0,2,1,-1,0,0,Loss,S Attwell,4.0,4.0,1.8,4.1,4.0,1.8
Liverpool,1,4,0,4,1,0,Win,A Taylor,2.05,3.9,3.3,2.05,3.8,3.3
Southampton,0,1,0,-1,0,0,Loss,A Marriner,8.5,6.0,1.3,8.5,5.5,1.33
Newcastle,1,5,0,5,1,0,Win,A Madley,1.12,9.0,21.0,1.12,9.25,21.0
Brighton,0,0,5,5,2,0,Win,G Scott,10.0,5.5,1.28,10.0,5.5,1.3
Bournemouth,1,2,1,1,3,1,Win,L Mason,1.14,8.5,17.0,1.16,8.0,15.5
Watford,0,0,4,4,4,1,Win,M Oliver,8.5,5.5,1.33,9.0,5.75,1.3
Norwich,1,5,0,5,5,1,Win,C Pawson,1.08,11.0,26.0,1.05,13.5,41.0
Sunderland,1,2,1,1,1,0,Win,R Madley,1.25,6.5,15.0,1.22,6.0,11.5
Stoke,0,1,4,3,2,0,Win,M Dean,5.5,3.8,1.73,5.25,3.8,1.67
West Ham,1,3,1,2,3,1,Win,A Marriner,1.25,6.0,11.0,1.28,6.0,10.0
Man United,0,1,2,1,4,1,Win,M Clattenburg,2.38,3.25,3.4,2.3,3.3,3.5
Bournemouth,1,4,0,4,5,1,Win,J Moss,1.29,6.0,12.0,1.26,6.25,10.0
Swansea,0,1,3,2,6,1,Win,N Swarbrick,9.0,5.5,1.36,7.5,5.0,1.4
Tottenham,0,2,0,-2,0,0,Loss,A Marriner,3.0,3.5,2.5,3.0,3.4,2.35
Everton,1,1,1,0,0,0,Draw,M Oliver,1.5,4.75,7.0,1.48,4.75,6.25
Southampton,1,1,1,0,0,0,Draw,M Clattenburg,1.5,4.5,7.5,1.5,4.5,7.0
West Brom,0,0,4,4,1,0,Win,L Mason,8.0,4.75,1.44,7.0,4.5,1.45
Middlesbrough,1,1,1,0,0,0,Draw,K Friend,1.22,7.0,15.0,1.2,6.75,14.5
Crystal Palace,0,1,2,1,1,0,Win,R Madley,6.5,4.5,1.53,6.25,4.4,1.5
Burnley,0,1,2,1,2,0,Win,A Marriner,9.0,6.0,1.33,9.5,6.0,1.28
Chelsea,1,1,3,-2,0,0,Loss,A Taylor,2.15,3.6,3.6,2.15,3.5,3.6
Leicester,0,4,2,-2,0,0,Loss,M Oliver,5.25,4.0,1.7,4.75,4.0,1.7
Watford,1,2,0,2,1,0,Win,K Friend,1.29,6.5,11.0,1.22,6.5,12.5
Arsenal,1,2,1,1,2,0,Win,M Atkinson,2.15,3.6,3.5,2.15,3.6,3.5
Hull,0,0,3,3,3,1,Win,R Madley,10.0,5.5,1.3,8.5,5.0,1.33
Liverpool,0,1,0,-1,0,0,Loss,C Pawson,2.35,3.6,3.1,2.3,3.5,3.0
Burnley,1,2,1,1,1,0,Win,L Mason,1.17,8.5,19.0,1.17,8.0,15.0
Everton,0,4,0,-4,0,0,Loss,M Clattenburg,4.5,4.0,1.8,4.4,3.8,1.78
Tottenham,1,2,2,0,0,0,Draw,A Marriner,2.15,3.5,3.6,2.1,3.5,3.5
West Ham,0,0,4,4,1,0,Win,K Friend,6.0,4.5,1.57,5.5,4.33,1.57
Swansea,1,2,1,1,2,0,Win,M Dean,1.22,7.0,15.0,1.2,7.25,13.0
Bournemouth,0,0,2,2,3,1,Win,N Swarbrick,7.5,5.0,1.44,6.75,4.75,1.45
Sunderland,0,0,2,2,4,1,Win,M Atkinson,11.0,6.5,1.29,10.0,6.0,1.28
Stoke,1,0,0,0,0,0,Draw,N Swarbrick,1.25,6.5,15.0,1.25,6.0,12.5
Liverpool,1,1,1,0,0,0,Draw,M Oliver,2.0,3.75,3.8,1.95,3.7,3.75
Arsenal,0,2,2,0,0,0,Draw,A Marriner,3.1,3.75,2.3,3.25,3.5,2.2
Chelsea,0,2,1,-1,0,0,Loss,M Dean,2.4,3.5,3.1,2.3,3.4,3.1
Hull,1,3,1,2,1,0,Win,J Moss,1.2,7.5,17.0,1.19,7.25,14.0
Southampton,0,0,3,3,2,0,Win,N Swarbrick,4.33,4.0,1.73,4.5,3.8,1.7
Man United,1,0,0,0,0,0,Draw,M Atkinson,1.91,3.75,4.2,1.87,3.75,4.0
Middlesbrough,0,2,2,0,0,0,Draw,K Friend,13.0,5.25,1.25,10.0,5.0,1.3
Crystal Palace,1,5,0,5,1,0,Win,M Oliver,1.29,6.5,11.0,1.28,6.25,9.5
Leicester,1,2,1,1,2,0,Win,R Madley,1.25,7.0,12.0,1.25,6.25,11.5
West Brom,1,3,1,2,3,1,Win,C Pawson,1.14,9.0,23.0,1.12,9.5,19.0
Watford,0,0,5,5,4,1,Win,J Moss,11.0,6.0,1.3,9.75,6.0,1.28
Tottenham,0,1,0,-1,0,0,Loss,A Taylor,5.5,4.2,1.6,5.25,4.25,1.6
Norwich,1,5,0,5,1,0,Win,G Scott,1.08,11.0,26.0,1.11,9.5,23.0
Arsenal,1,5,0,5,2,0,Win,M Atkinson,1.25,6.0,12.0,1.25,6.25,11.5
Leicester,0,0,1,1,3,1,Win,P Tierney,6.0,4.0,1.57,5.5,4.25,1.57
Southampton,1,0,0,0,0,0,Draw,J Moss,1.12,9.5,17.0,1.14,8.25,19.5
