Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Crystal Palace,1,2,0,2,3,1,Win,A Taylor
Man United,0,2,1,-1,0,0,Loss,J Moss
Brighton,1,3,1,2,1,0,Win,D Coote
Chelsea,0,0,0,0,0,0,Draw,K Friend
Cardiff,1,1,0,1,1,0,Win,P Tierney
Liverpool,0,1,0,-1,0,0,Loss,C Kavanagh
Newcastle,1,1,1,0,0,0,Draw,L Mason
Watford,1,2,2,0,0,0,Draw,K Friend
Man City,0,3,1,-2,0,0,Loss,C Pawson
Tottenham,1,2,6,-4,0,0,Loss,P Tierney
Burnley,0,1,5,4,1,0,Win,M Oliver
Brighton,0,1,0,-1,0,0,Loss,A Madley
Leicester,1,0,1,-1,0,0,Loss,M Atkinson
Bournemouth,1,2,0,2,1,0,Win,A Taylor
Southampton,0,2,1,-1,0,0,Loss,G Scott
Huddersfield,0,0,1,1,1,0,Win,S Attwell
Wolves,1,1,3,-2,0,0,Loss,L Mason
Man City,1,0,2,-2,0,0,Loss,C Pawson
Watford,0,1,0,-1,0,0,Loss,L Probert
Cardiff,0,0,3,3,1,0,Win,K Friend
Liverpool,1,0,0,0,0,0,Draw,M Atkinson
Newcastle,0,3,2,-1,0,0,Loss,L Mason
Chelsea,1,2,0,2,1,0,Win,A Taylor
West Ham,0,0,2,2,2,0,Win,P Tierney
Arsenal,1,1,0,1,3,1,Win,K Friend
Fulham,0,2,0,-2,0,0,Loss,L Probert
Man United,1,4,0,4,1,0,Win,P Tierney
Crystal Palace,0,0,0,0,0,0,Draw,L Mason
Burnley,1,2,0,2,1,0,Win,C Kavanagh
Tottenham,0,2,2,0,0,0,Draw,A Marriner
Crystal Palace,0,0,0,0,0,0,Draw,J Moss
Watford,1,1,0,1,1,0,Win,L Mason
Aston Villa,0,2,0,-2,0,0,Loss,M Oliver
Wolves,1,3,2,1,1,0,Win,A Taylor
Bournemouth,0,3,1,-2,0,0,Loss,P Tierney
Sheffield United,1,0,2,-2,0,0,Loss,S Hooper
Man City,1,1,3,-2,0,0,Loss,M Oliver
Burnley,0,1,0,-1,0,0,Loss,G Scott
West Ham,1,2,0,2,1,0,Win,P Tierney
Brighton,0,3,2,-1,0,0,Loss,A Madley
Tottenham,1,1,1,0,0,0,Draw,M Atkinson
Southampton,0,1,2,1,1,0,Win,P Tierney
Norwich,1,0,2,-2,0,0,Loss,A Taylor
Leicester,0,2,1,-1,0,0,Loss,G Scott
Liverpool,0,5,2,-3,0,0,Loss,M Dean
Chelsea,1,3,1,2,1,0,Win,C Pawson
Man United,0,1,1,0,0,0,Draw,M Oliver
Arsenal,1,0,0,0,0,0,Draw,K Friend
Burnley,1,1,0,1,1,0,Win,A Taylor
Newcastle,0,1,2,1,2,0,Win,L Mason
Man City,0,2,1,-1,0,0,Loss,A Marriner
Brighton,1,1,0,1,1,0,Win,D Coote
West Ham,0,1,1,0,0,0,Draw,A Marriner
Newcastle,1,2,2,0,0,0,Draw,S Hooper
Watford,0,2,3,1,1,0,Win,C Pawson
