Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Newcastle,0,2,3,1,8,1,Win,A Marriner
Wolves,1,2,0,2,9,1,Win,M Atkinson
Norwich,1,4,1,3,1,0,Win,M Oliver
Southampton,0,1,2,1,2,0,Win,A Marriner
Arsenal,1,3,1,2,3,1,Win,A Taylor
Burnley,0,0,3,3,4,1,Win,C Kavanagh
Newcastle,1,3,1,2,5,1,Win,A Marriner
Chelsea,0,1,2,1,6,1,Win,M Oliver
Sheffield United,0,0,1,1,7,1,Win,A Taylor
Leicester,1,2,1,1,8,1,Win,C Kavanagh
Man United,0,1,1,0,0,0,Draw,M Atkinson
Tottenham,1,2,1,1,1,0,Win,A Taylor
Aston Villa,0,1,2,1,2,0,Win,J Moss
Man City,1,3,1,2,3,1,Win,M Oliver
Crystal Palace,0,1,2,1,4,1,Win,K Friend
Brighton,1,2,1,1,5,1,Win,M Atkinson
Everton,1,5,2,3,6,1,Win,M Dean
Bournemouth,0,0,3,3,7,1,Win,C Kavanagh
Watford,1,2,0,2,8,1,Win,A Marriner
Leicester,0,0,4,4,9,1,Win,M Oliver
Wolves,1,1,0,1,10,1,Win,A Taylor
Sheffield United,1,2,0,2,11,1,Win,P Tierney
Tottenham,0,0,1,1,12,1,Win,M Atkinson
Man United,1,2,0,2,13,1,Win,C Pawson
Wolves,0,1,2,1,14,1,Win,M Oliver
West Ham,0,0,2,2,15,1,Win,J Moss
Southampton,1,4,0,4,16,1,Win,K Friend
Norwich,0,0,1,1,17,1,Win,S Attwell
West Ham,1,3,2,1,18,1,Win,J Moss
Watford,0,3,0,-3,0,0,Loss,M Oliver
Bournemouth,1,2,1,1,1,0,Win,P Tierney
Everton,0,0,0,0,0,0,Draw,M Dean
Crystal Palace,1,4,0,4,1,0,Win,M Atkinson
Man City,0,4,0,-4,0,0,Loss,A Taylor
Aston Villa,1,2,0,2,1,0,Win,P Tierney
Brighton,0,1,3,2,2,0,Win,C Pawson
Burnley,1,1,1,0,0,0,Draw,D Coote
Arsenal,0,2,1,-1,0,0,Loss,P Tierney
Chelsea,1,5,3,2,1,0,Win,A Marriner
Newcastle,0,1,3,2,2,0,Win,A Taylor
Arsenal,0,3,4,1,1,0,Win,M Oliver
Burnley,0,2,0,-2,0,0,Loss,L Mason
Tottenham,0,1,1,0,0,0,Draw,R Madley
Leicester,1,4,1,3,1,0,Win,C Pawson
Chelsea,0,1,2,1,2,0,Win,M Atkinson
Hull,1,5,1,4,3,1,Win,A Marriner
Swansea,0,1,2,1,4,1,Win,M Oliver
Man United,1,0,0,0,0,0,Draw,A Taylor
West Brom,1,2,1,1,1,0,Win,N Swarbrick
Crystal Palace,0,2,4,2,2,0,Win,A Marriner
Watford,1,6,1,5,3,1,Win,M Oliver
Southampton,0,0,0,0,0,0,Draw,M Clattenburg
Sunderland,1,2,0,2,1,0,Win,A Taylor
Bournemouth,0,4,3,-1,0,0,Loss,R Madley
West Ham,1,2,2,0,0,0,Draw,M Clattenburg
Middlesbrough,0,0,3,3,1,0,Win,J Moss
Everton,0,0,1,1,2,0,Win,M Dean
Stoke,1,4,1,3,3,1,Win,M Oliver
Man City,1,1,0,1,4,1,Win,C Pawson
Sunderland,0,2,2,0,0,0,Draw,A Taylor
Man United,0,1,1,0,0,0,Draw,M Oliver
Swansea,1,2,3,-1,0,0,Loss,K Friend
Chelsea,1,1,1,0,0,0,Draw,M Clattenburg
Hull,0,2,0,-2,0,0,Loss,L Mason
Tottenham,1,2,0,2,1,0,Win,A Taylor
Leicester,0,3,1,-2,0,0,Loss,M Oliver
Arsenal,1,3,1,2,1,0,Win,R Madley
Burnley,1,2,1,1,2,0,Win,C Pawson
Man City,0,1,1,0,0,0,Draw,M Oliver
Everton,1,3,1,2,1,0,Win,A Taylor
Bournemouth,1,2,2,0,0,0,Draw,L Mason
Stoke,0,1,2,1,1,0,Win,M Dean
West Brom,0,0,1,1,2,0,Win,J Moss
Crystal Palace,1,1,2,-1,0,0,Loss,A Marriner
Watford,0,0,1,1,1,0,Win,C Pawson
Southampton,1,0,0,0,0,0,Draw,R Madley
West Ham,0,0,4,4,1,0,Win,N Swarbrick
Middlesbrough,1,3,0,3,2,0,Win,M Atkinson
Norwich,0,0,3,3,1,0,Win,A Marriner
Burnley,1,2,0,2,2,0,Win,M Dean
Chelsea,1,1,1,0,0,0,Draw,A Taylor
Leeds,0,0,3,3,1,0,Win,C Pawson
Crystal Palace,1,3,0,3,2,0,Win,A Madley
Brentford,0,3,3,0,0,0,Draw,S Attwell
Man City,1,2,2,0,0,0,Draw,P Tierney
Watford,0,0,5,5,1,0,Win,J Moss
Man United,0,0,5,5,2,0,Win,A Taylor
Brighton,1,2,2,0,0,0,Draw,M Dean
West Ham,0,3,2,-1,0,0,Loss,C Pawson
Arsenal,1,4,0,4,1,0,Win,M Oliver
Southampton,1,4,0,4,2,0,Win,A Marriner
