Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Man City,0,1,0,-1,0,0,Loss,M Oliver
Brighton,1,1,0,1,1,0,Win,C Kavanagh
West Ham,1,0,1,-1,0,0,Loss,A Taylor
Bournemouth,0,1,0,-1,0,0,Loss,C Pawson
Everton,1,2,2,0,0,0,Draw,A Marriner
Aston Villa,1,3,1,2,1,0,Win,C Kavanagh
Man City,0,2,2,0,0,0,Draw,M Oliver
Newcastle,1,0,1,-1,0,0,Loss,M Dean
Arsenal,0,2,2,0,0,0,Draw,M Atkinson
Crystal Palace,1,4,0,4,1,0,Win,C Pawson
Leicester,0,2,1,-1,0,0,Loss,P Tierney
Southampton,1,2,1,1,1,0,Win,G Scott
Brighton,0,3,0,-3,0,0,Loss,J Moss
Watford,1,1,1,0,0,0,Draw,C Kavanagh
Liverpool,0,2,1,-1,0,0,Loss,A Taylor
Everton,0,1,1,0,0,0,Draw,M Atkinson
Sheffield United,1,1,1,0,0,0,Draw,G Scott
West Ham,0,2,3,1,1,0,Win,M Oliver
Bournemouth,1,3,2,1,2,0,Win,L Mason
Man United,0,2,1,-1,0,0,Loss,P Tierney
Burnley,1,5,0,5,1,0,Win,K Friend
Wolves,0,1,2,1,2,0,Win,S Attwell
Chelsea,1,0,2,-2,0,0,Loss,A Taylor
Brighton,1,2,1,1,1,0,Win,G Scott
Norwich,0,2,2,0,0,0,Draw,K Friend
Southampton,0,1,0,-1,0,0,Loss,M Dean
Liverpool,1,0,1,-1,0,0,Loss,M Atkinson
Watford,0,0,0,0,0,0,Draw,M Oliver
Norwich,1,2,1,1,1,0,Win,C Kavanagh
Man City,1,2,0,2,2,0,Win,M Dean
Aston Villa,0,2,3,1,3,1,Win,M Atkinson
Chelsea,0,2,1,-1,0,0,Loss,M Oliver
Wolves,1,2,3,-1,0,0,Loss,S Attwell
Burnley,0,1,1,0,0,0,Draw,J Moss
Man United,1,1,1,0,0,0,Draw,J Moss
West Ham,1,2,0,2,1,0,Win,C Pawson
Sheffield United,0,3,1,-2,0,0,Loss,C Kavanagh
Everton,1,1,0,1,1,0,Win,G Scott
Bournemouth,0,0,0,0,0,0,Draw,P Tierney
Arsenal,1,2,1,1,1,0,Win,M Oliver
Newcastle,0,1,3,2,2,0,Win,D Coote
