Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Newcastle,0,0,2,2,4,1,Win,A Marriner,6.0,4.2,1.61,6.0,4.0,1.57
Tottenham,0,0,1,1,5,1,Win,M Dean,2.05,3.7,3.75,2.05,3.6,3.5
Brighton,1,2,1,1,6,1,Win,P Tierney,1.3,5.75,12.0,1.3,5.5,10.5
Burnley,1,2,2,0,0,0,Draw,J Moss,1.28,6.0,12.0,1.26,6.0,12.0
Leicester,0,0,1,1,1,0,Win,M Dean,3.6,3.5,2.15,3.7,3.4,2.05
Fulham,0,0,3,3,2,0,Win,P Tierney,5.5,4.4,1.61,5.5,4.0,1.62
Liverpool,1,0,0,0,0,0,Draw,M Oliver,3.1,3.5,2.37,3.0,3.4,2.35
Crystal Palace,0,1,3,2,1,0,Win,M Atkinson,3.25,3.5,2.3,3.1,3.4,2.3
Southampton,1,3,2,1,2,0,Win,S Attwell,1.45,4.5,8.5,1.44,4.5,7.5
Arsenal,0,2,0,-2,0,0,Loss,J Moss,2.4,3.6,3.0,2.35,3.5,2.95
Watford,1,2,1,1,1,0,Win,S Attwell,1.44,4.75,8.0,1.42,4.75,7.5
Wolves,0,2,1,-1,0,0,Loss,M Dean,4.0,3.6,2.0,4.0,3.6,1.91
West Ham,1,2,1,1,1,0,Win,G Scott,1.4,5.25,8.5,1.42,4.75,7.5
Everton,0,4,0,-4,0,0,Loss,P Tierney,3.25,3.5,2.3,3.2,3.4,2.25
Man City,1,0,2,-2,0,0,Loss,A Marriner,7.5,5.0,1.44,7.0,4.75,1.44
Chelsea,1,1,1,0,0,0,Draw,M Atkinson,2.7,3.5,2.7,2.65,3.4,2.65
Huddersfield,0,1,1,0,0,0,Draw,L Mason,11.0,6.0,1.3,8.75,5.5,1.33
Cardiff,1,0,2,-2,0,0,Loss,J Moss,1.28,6.5,11.0,1.25,6.25,11.0
Chelsea,1,4,0,4,1,0,Win,A Taylor,2.1,3.3,3.5,2.15,3.3,3.5
Wolves,0,1,1,0,0,0,Draw,J Moss,3.3,3.3,2.25,3.3,3.25,2.3
