Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Everton,0,1,1,0,0,0,Draw,J Moss,1.73,4.0,5.0,1.72,3.75,5.0
West Ham,1,0,1,-1,0,0,Loss,M Atkinson,2.15,3.5,3.6,2.0,3.5,3.75
Leicester,0,3,1,-2,0,0,Loss,M Oliver,2.05,3.5,3.9,2.05,3.4,3.7
Liverpool,1,2,4,-2,0,0,Loss,A Marriner,5.25,4.0,1.7,5.0,4.0,1.72
Burnley,0,3,2,-1,0,0,Loss,A Taylor,3.3,3.3,2.38,3.2,3.25,2.35
Man City,1,1,2,-1,0,0,Loss,R Madley,6.5,4.5,1.53,6.25,4.4,1.5
Swansea,0,5,4,-1,0,0,Loss,K Friend,2.63,3.4,2.88,2.55,3.2,2.9
Southampton,1,3,0,3,1,0,Win,N Swarbrick,3.5,3.3,2.3,3.2,3.4,2.25
Hull,0,3,3,0,0,0,Draw,M Jones,3.5,3.3,2.3,3.3,3.25,2.3
Man United,1,1,2,-1,0,0,Loss,C Pawson,5.25,4.0,1.7,5.5,3.8,1.65
Chelsea,1,0,1,-1,0,0,Loss,J Moss,6.5,4.2,1.57,6.0,4.1,1.57
Watford,0,1,1,0,0,0,Draw,M Clattenburg,2.5,3.3,2.9,2.4,3.2,2.9
Arsenal,0,2,0,-2,0,0,Loss,A Marriner,1.29,5.5,9.5,1.3,5.5,9.75
Swansea,1,1,2,-1,0,0,Loss,P Tierney,1.75,3.5,4.75,1.78,3.6,4.75
West Ham,0,3,0,-3,0,0,Loss,N Swarbrick,2.38,3.4,3.2,2.35,3.3,3.1
Everton,1,0,1,-1,0,0,Loss,A Taylor,3.25,3.4,2.38,3.0,3.4,2.35
Bournemouth,0,0,2,2,1,0,Win,J Moss,2.05,3.5,3.9,2.05,3.4,3.75
Sunderland,1,0,4,-4,0,0,Loss,A Marriner,1.7,3.9,5.5,1.67,3.8,5.25
Stoke,0,1,0,-1,0,0,Loss,M Atkinson,2.15,3.3,3.9,2.05,3.3,3.9
Middlesbrough,1,1,0,1,1,0,Win,R Madley,2.1,3.2,4.2,2.1,3.2,3.9
West Brom,0,0,2,2,2,0,Win,M Jones,2.2,3.3,3.8,2.2,3.1,3.6
Watford,1,1,0,1,3,1,Win,M Atkinson,1.91,3.5,4.75,1.9,3.5,4.2
Chelsea,0,1,2,1,4,1,Win,C Pawson,1.3,5.75,12.0,1.26,5.75,11.5
Southampton,0,3,1,-2,0,0,Loss,R East,1.83,3.7,4.75,1.8,3.5,4.75
