Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Everton,1,2,2,0,0,0,Draw,A Marriner,2.2,3.5,3.5,2.1,3.5,3.5
Aston Villa,1,3,1,2,1,0,Win,C Kavanagh,1.3,5.25,10.0,1.3,5.5,10.0
Man City,0,2,2,0,0,0,Draw,M Oliver,1.36,5.25,8.0,1.35,5.5,7.75
Newcastle,1,0,1,-1,0,0,Loss,M Dean,1.2,6.5,14.0,1.22,6.5,13.5
Arsenal,0,2,2,0,0,0,Draw,M Atkinson,2.37,3.6,2.8,2.4,3.6,2.8
Crystal Palace,1,4,0,4,1,0,Win,C Pawson,1.36,5.25,8.0,1.36,5.0,8.5
Leicester,0,2,1,-1,0,0,Loss,P Tierney,2.87,3.5,2.37,2.95,3.4,2.4
Southampton,1,2,1,1,1,0,Win,G Scott,1.4,4.75,8.0,1.42,4.6,7.5
Brighton,0,3,0,-3,0,0,Loss,J Moss,3.9,3.6,1.9,3.8,3.6,1.95
Watford,1,1,1,0,0,0,Draw,C Kavanagh,1.4,5.0,7.5,1.42,4.75,7.25
Liverpool,0,2,1,-1,0,0,Loss,A Taylor,1.5,4.33,6.5,1.5,4.5,6.25
Everton,0,1,1,0,0,0,Draw,M Atkinson,2.7,3.4,2.6,2.8,3.4,2.5
Sheffield United,1,1,1,0,0,0,Draw,G Scott,1.57,4.0,6.0,1.57,4.0,6.0
West Ham,0,2,3,1,1,0,Win,M Oliver,4.2,4.33,1.7,4.33,4.0,1.75
Bournemouth,1,3,2,1,2,0,Win,L Mason,1.36,5.5,7.5,1.4,5.0,7.5
Man United,0,2,1,-1,0,0,Loss,P Tierney,2.75,3.4,2.55,2.65,3.5,2.6
Burnley,1,5,0,5,1,0,Win,K Friend,1.4,4.75,8.0,1.42,4.75,7.5
Wolves,0,1,2,1,2,0,Win,S Attwell,3.25,3.4,2.25,3.2,3.5,2.2
Chelsea,1,0,2,-2,0,0,Loss,A Taylor,2.37,3.75,2.75,2.3,3.7,2.9
Brighton,1,2,1,1,1,0,Win,G Scott,1.53,4.33,6.0,1.55,4.4,5.5
Norwich,0,2,2,0,0,0,Draw,K Friend,5.0,4.0,1.66,5.0,4.1,1.65
Southampton,0,1,0,-1,0,0,Loss,M Dean,3.3,3.5,2.1,3.4,3.6,2.1
Liverpool,1,0,1,-1,0,0,Loss,M Atkinson,4.5,4.33,1.66,4.5,4.33,1.67
Watford,0,0,0,0,0,0,Draw,M Oliver,3.25,3.5,2.2,3.1,3.6,2.2
Norwich,1,2,1,1,1,0,Win,C Kavanagh,1.4,5.0,7.5,1.42,4.75,7.25
Man City,1,2,0,2,2,0,Win,M Dean,5.5,4.6,1.53,5.75,4.5,1.53
Aston Villa,0,2,3,1,3,1,Win,M Atkinson,4.0,3.8,1.85,4.0,3.8,1.85
Chelsea,0,2,1,-1,0,0,Loss,M Oliver,1.72,4.0,4.5,1.72,4.0,4.6
Wolves,1,2,3,-1,0,0,Loss,S Attwell,2.45,3.2,3.0,2.35,3.25,3.2
Burnley,0,1,1,0,0,0,Draw,J Moss,2.7,3.3,2.62,2.7,3.25,2.7
Man United,1,1,1,0,0,0,Draw,J Moss,3.0,3.4,2.37,2.95,3.4,2.4
West Ham,1,2,0,2,1,0,Win,C Pawson,1.66,4.0,5.0,1.65,4.1,5.0
Sheffield United,0,3,1,-2,0,0,Loss,C Kavanagh,4.2,3.4,1.95,4.2,3.4,1.95
Everton,1,1,0,1,1,0,Win,G Scott,2.1,3.5,3.4,2.05,3.6,3.5
