Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Stoke,1,2,0,2,4,1,Win,L Mason,2.05,3.5,4.0,2.0,3.4,3.9
Sunderland,1,2,0,2,5,1,Win,G Scott,1.45,4.5,8.5,1.42,4.6,7.75
Everton,0,4,2,-2,0,0,Loss,R Madley,1.75,3.9,5.0,1.72,3.6,5.25
Crystal Palace,0,2,2,0,0,0,Draw,M Dean,1.73,3.6,4.75,1.8,3.5,4.4
Arsenal,0,1,0,-1,0,0,Loss,M Jones,1.6,4.5,5.75,1.57,4.33,5.5
West Brom,0,0,1,1,1,0,Win,M Clattenburg,2.4,3.5,2.75,2.4,3.3,2.85
Watford,1,3,0,3,2,0,Win,R East,1.57,4.2,6.5,1.57,4.1,6.0
Man City,0,2,1,-1,0,0,Loss,R Madley,1.25,7.0,12.0,1.25,6.25,11.5
Tottenham,1,1,6,-5,0,0,Loss,M Oliver,4.5,3.8,1.85,4.25,3.6,1.85
Bournemouth,1,1,1,0,0,0,Draw,l Mason,2.0,3.6,4.0,1.91,3.7,3.9
Arsenal,0,4,3,-1,0,0,Loss,M Dean,1.53,4.5,6.5,1.5,4.6,6.75
Brighton,1,2,0,2,1,0,Win,L Probert,1.73,3.8,5.5,1.75,3.6,5.0
Man United,0,2,0,-2,0,0,Loss,M Oliver,1.33,5.5,11.0,1.34,5.0,9.75
Chelsea,1,1,2,-1,0,0,Loss,L Mason,4.75,3.9,1.8,4.6,3.8,1.75
Huddersfield,0,1,1,0,0,0,Draw,J Moss,3.5,3.4,2.25,3.2,3.25,2.3
Liverpool,1,2,3,-1,0,0,Loss,A Taylor,4.1,3.9,1.91,4.0,3.75,1.87
Bournemouth,0,0,0,0,0,0,Draw,G Scott,2.8,3.25,2.5,2.7,3.3,2.5
West Brom,1,1,1,0,0,0,Draw,M Dean,2.05,3.4,4.2,2.0,3.3,4.1
Swansea,0,1,2,1,1,0,Win,M Oliver,2.79,3.25,2.75,2.75,3.25,2.65
