Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Everton,1,0,0,0,0,0,Draw,R East,3.3,3.6,2.25,3.3,3.4,2.2
Stoke,0,0,0,0,0,0,Draw,L Probert,2.0,3.5,3.6,2.15,3.3,3.3
Tottenham,1,1,0,1,1,0,Win,A Taylor,8.5,5.25,1.4,8.0,5.25,1.36
Liverpool,1,0,4,-4,0,0,Loss,N Swarbrick,5.25,4.0,1.7,5.5,3.75,1.65
Burnley,0,1,2,1,1,0,Win,R Madley,2.45,3.5,3.0,2.4,3.5,2.85
Man United,0,4,0,-4,0,0,Loss,M Atkinson,1.3,5.75,12.0,1.28,5.5,11.0
Southampton,0,3,2,-1,0,0,Loss,L Mason,1.75,3.8,5.25,1.7,3.8,5.0
Newcastle,0,3,0,-3,0,0,Loss,N Swarbrick,2.3,3.4,3.4,2.25,3.25,3.4
Huddersfield,1,2,0,2,1,0,Win,K Friend,1.95,3.5,4.5,1.83,3.5,4.5
West Brom,0,0,0,0,0,0,Draw,P Tierney,2.38,3.25,3.4,2.3,3.2,3.25
Tottenham,1,2,3,-1,0,0,Loss,M Oliver,6.0,4.33,1.6,5.5,4.1,1.6
Swansea,1,1,0,1,1,0,Win,R East,1.8,3.5,4.5,1.8,3.4,4.5
Burnley,0,1,1,0,0,0,Draw,S Attwell,2.75,3.25,2.8,2.65,3.25,2.75
Brighton,1,0,3,-3,0,0,Loss,M Atkinson,1.83,3.5,5.25,1.8,3.5,4.75
Crystal Palace,0,2,2,0,0,0,Draw,R Madley,2.39,3.29,3.29,2.35,3.3,3.1
Liverpool,1,1,4,-3,0,0,Loss,N Swarbrick,5.25,4.33,1.66,5.0,4.1,1.65
Watford,0,2,0,-2,0,0,Loss,A Marriner,2.1,3.5,3.75,2.1,3.25,3.7
Leicester,1,1,1,0,0,0,Draw,M Atkinson,2.7,3.39,2.75,2.75,3.3,2.6
Everton,0,4,0,-4,0,0,Loss,M Oliver,2.37,3.29,3.29,2.3,3.3,3.2
Man City,0,2,1,-1,0,0,Loss,M Dean,1.08,11.0,21.0,1.1,10.5,21.0
Chelsea,1,1,0,1,1,0,Win,A Taylor,7.5,4.5,1.5,7.25,4.5,1.45
Arsenal,1,0,0,0,0,0,Draw,J Moss,5.25,4.2,1.66,5.25,4.2,1.62
Stoke,0,0,3,3,1,0,Win,G Scott,2.29,3.29,3.5,2.2,3.3,3.4
Newcastle,1,2,3,-1,0,0,Loss,L Mason,2.1,3.39,3.89,2.1,3.3,3.7
Bournemouth,0,3,3,0,0,0,Draw,S Attwell,2.79,3.29,2.75,2.75,3.2,2.65
West Brom,1,2,1,1,1,0,Win,M Jones,1.9,3.39,4.09,1.9,3.4,4.33
Tottenham,0,1,1,0,0,0,Draw,M Dean,1.25,6.0,10.0,1.25,5.75,10.5
Huddersfield,0,1,4,3,1,0,Win,J Moss,2.62,3.1,3.1,2.6,3.0,3.0
Bournemouth,1,1,1,0,0,0,Draw,M Atkinson,2.0,3.6,4.0,1.95,3.6,3.9
Crystal Palace,1,1,1,0,0,0,Draw,N Swarbrick,3.1,3.25,2.54,3.0,3.2,2.45
Brighton,0,3,1,-2,0,0,Loss,R East,2.35,3.0,3.7,2.3,3.0,3.5
Watford,1,2,0,2,1,0,Win,G Scott,2.5,3.29,2.79,2.45,3.2,3.0
Liverpool,0,4,1,-3,0,0,Loss,S Attwell,1.22,7.5,13.0,1.2,7.0,13.5
Swansea,0,4,1,-3,0,0,Loss,M Atkinson,2.6,3.25,3.0,2.45,3.2,3.0
Burnley,1,0,3,-3,0,0,Loss,L Mason,2.29,3.2,3.6,2.2,3.1,3.6
Southampton,1,3,0,3,1,0,Win,J Moss,2.7,3.25,2.6,2.85,3.2,2.6
Chelsea,0,1,1,0,0,0,Draw,K Friend,1.28,6.0,12.0,1.28,5.75,11.0
Stoke,1,1,1,0,0,0,Draw,M Oliver,2.0,3.6,4.0,2.0,3.3,4.0
Arsenal,0,4,1,-3,0,0,Loss,L Mason,1.55,4.59,6.0,1.53,4.5,5.75
Man City,1,1,4,-3,0,0,Loss,N Swarbrick,10.0,5.75,1.33,9.25,5.25,1.33
Leicester,0,0,2,2,1,0,Win,C Kavanagh,2.25,3.5,3.39,2.2,3.4,3.3
Man United,1,0,0,0,0,0,Draw,J Moss,4.75,3.79,1.8,4.33,3.75,1.8
Everton,1,3,1,2,1,0,Win,G Scott,2.45,3.5,3.0,2.4,3.4,2.95
Liverpool,0,4,0,-4,0,0,Loss,A Taylor,1.25,6.5,14.0,1.2,6.75,14.0
Bournemouth,1,1,2,-1,0,0,Loss,S Attwell,2.1,3.6,3.7,2.1,3.3,3.75
Arsenal,0,3,1,-2,0,0,Loss,G Scott,1.36,5.5,9.0,1.36,5.25,7.75
Wolves,1,0,1,-1,0,0,Loss,C Kavanagh,2.6,3.4,2.87,2.5,3.3,2.85
Everton,0,1,3,2,1,0,Win,M Atkinson,2.0,3.75,3.9,2.0,3.6,3.7
Chelsea,1,0,0,0,0,0,Draw,M Dean,6.0,4.5,1.57,5.75,4.25,1.55
Man United,1,3,1,2,1,0,Win,M Oliver,4.5,3.8,1.85,4.1,3.75,1.85
Brighton,0,1,0,-1,0,0,Loss,K Friend,2.7,3.3,2.87,2.6,3.25,2.8
Tottenham,1,0,1,-1,0,0,Loss,M Atkinson,4.1,3.9,1.9,4.2,3.7,1.85
Leicester,0,1,1,0,0,0,Draw,M Oliver,2.1,3.5,3.8,2.1,3.4,3.6
Burnley,1,4,2,2,1,0,Win,R East,1.75,3.75,5.25,1.75,3.6,5.0
Huddersfield,0,1,1,0,0,0,Draw,C Kavanagh,3.4,3.25,2.35,3.4,3.2,2.25
Man City,1,0,4,-4,0,0,Loss,A Marriner,13.0,6.5,1.25,10.5,6.25,1.26
Newcastle,0,0,3,3,1,0,Win,P Tierney,2.5,3.3,3.1,2.45,3.25,3.0
Cardiff,1,3,1,2,2,0,Win,G Scott,1.66,4.0,5.75,1.6,4.0,5.75
Crystal Palace,1,3,2,1,3,1,Win,A Taylor,2.3,3.4,3.4,2.2,3.4,3.3
Fulham,0,0,2,2,4,1,Win,M Dean,2.9,3.6,2.5,2.85,3.5,2.4
Watford,1,0,2,-2,0,0,Loss,L Mason,2.37,3.5,3.1,2.25,3.5,3.1
Southampton,0,1,2,1,1,0,Win,C Pawson,2.3,3.5,3.3,2.2,3.5,3.2
Burnley,0,2,0,-2,0,0,Loss,D Coote,3.3,3.2,2.25,3.25,3.4,2.25
Brighton,1,2,2,0,0,0,Draw,C Kavanagh,1.95,3.75,4.0,1.95,3.5,3.9
Arsenal,1,1,0,1,1,0,Win,J Moss,3.5,4.0,2.05,3.5,3.75,2.0
Bournemouth,0,2,0,-2,0,0,Loss,S Hooper,2.37,3.7,3.0,2.35,3.5,2.95
Wolves,0,3,0,-3,0,0,Loss,D Coote,2.1,3.5,3.75,2.1,3.4,3.75
Liverpool,1,1,1,0,0,0,Draw,K Friend,8.0,5.25,1.4,7.75,5.25,1.36
Crystal Palace,0,1,1,0,0,0,Draw,C Pawson,2.1,3.5,3.75,2.05,3.4,3.75
Fulham,1,3,1,2,1,0,Win,L Mason,1.95,3.8,4.0,1.91,3.75,4.0
Man City,0,1,0,-1,0,0,Loss,S Attwell,1.16,9.0,19.0,1.16,7.5,17.0
Newcastle,1,2,0,2,1,0,Win,C Kavanagh,2.15,3.5,3.6,2.1,3.4,3.6
Cardiff,0,2,0,-2,0,0,Loss,G Scott,3.6,3.5,2.15,3.4,3.3,2.2
Huddersfield,1,4,3,1,1,0,Win,J Moss,1.55,4.2,7.0,1.57,4.0,6.0
Everton,1,0,2,-2,0,0,Loss,P Tierney,2.55,3.5,2.9,2.55,3.3,2.8
Chelsea,0,2,0,-2,0,0,Loss,C Kavanagh,1.33,5.75,9.5,1.34,5.25,9.0
Man United,0,2,1,-1,0,0,Loss,G Scott,1.4,5.25,8.5,1.42,4.75,7.5
Leicester,1,2,2,0,0,0,Draw,L Probert,3.3,3.5,2.3,3.1,3.4,2.3
Tottenham,0,0,1,1,1,0,Win,A Taylor,1.4,5.5,7.5,1.42,4.6,7.5
Southampton,1,3,0,3,2,0,Win,S Attwell,2.3,3.75,3.1,2.3,3.6,2.95
Watford,0,1,4,3,3,1,Win,C Kavanagh,2.25,3.75,3.2,2.2,3.7,3.1
