Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Middlesbrough,1,0,0,0,0,0,Draw,M Dean,1.25,6.5,15.0,1.25,6.0,12.0
Sunderland,0,1,4,3,1,0,Win,M Atkinson,9.0,5.0,1.4,8.0,5.25,1.4
Tottenham,1,1,1,0,0,0,Draw,M Clattenburg,1.95,3.6,4.2,1.95,3.6,3.9
Man United,0,1,1,0,0,0,Draw,A Marriner,2.6,3.4,2.9,2.5,3.4,2.8
Bournemouth,1,3,1,2,1,0,Win,M Jones,1.4,5.0,9.0,1.42,4.75,7.5
West Ham,0,1,5,4,2,0,Win,C Pawson,4.75,4.2,1.75,4.75,4.0,1.75
Stoke,1,3,1,2,3,1,Win,L Mason,1.35,5.5,9.5,1.35,5.0,9.0
Everton,0,2,1,-1,0,0,Loss,M Clattenburg,4.2,3.75,1.91,4.25,3.7,1.9
Man City,0,2,1,-1,0,0,Loss,M Atkinson,2.15,3.6,3.5,2.15,3.6,3.5
West Brom,1,1,0,1,1,0,Win,N Swarbrick,1.33,5.5,8.5,1.3,5.0,10.0
Crystal Palace,1,2,0,2,2,0,Win,A Marriner,1.29,5.5,9.5,1.3,5.5,9.75
Bournemouth,0,3,3,0,0,0,Draw,M Oliver,4.33,3.4,1.85,4.4,3.7,1.8
Swansea,0,0,4,4,1,0,Win,M Jones,7.0,4.75,1.5,6.25,4.6,1.48
Burnley,1,2,1,1,2,0,Win,J Moss,1.2,7.5,17.0,1.18,7.5,14.5
Watford,1,1,2,-1,0,0,Loss,A Marriner,1.22,7.0,15.0,1.22,6.5,13.0
Chelsea,0,3,1,-2,0,0,Loss,M Atkinson,1.95,3.6,4.2,1.95,3.5,4.0
Hull,1,2,0,2,1,0,Win,M Clattenburg,1.29,6.0,13.0,1.26,5.75,11.5
Liverpool,0,3,1,-2,0,0,Loss,R Madley,2.15,3.6,3.6,2.05,3.5,3.6
West Brom,0,3,1,-2,0,0,Loss,N Swarbrick,5.25,4.0,1.73,4.75,3.9,1.72
Man City,1,2,2,0,0,0,Draw,A Marriner,3.1,3.75,2.3,3.25,3.5,2.2
West Ham,1,3,0,3,1,0,Win,M Atkinson,1.4,5.25,8.0,1.36,5.25,8.0
Crystal Palace,0,3,0,-3,0,0,Loss,M Oliver,4.5,3.9,1.83,4.6,3.8,1.75
Middlesbrough,0,1,2,1,1,0,Win,A Taylor,7.0,4.0,1.5,6.25,3.9,1.53
Leicester,1,1,0,1,2,0,Win,M Jones,1.6,4.5,5.75,1.57,4.33,5.5
Tottenham,0,2,0,-2,0,0,Loss,M Oliver,1.85,3.75,4.0,1.9,3.6,3.8
Man United,1,2,0,2,1,0,Win,A Marriner,1.91,3.7,4.33,1.85,3.7,4.25
Southampton,0,0,2,2,2,0,Win,J Moss,3.6,3.8,2.05,3.5,3.75,2.0
Stoke,0,1,4,3,3,1,Win,M Dean,4.75,4.1,1.75,4.75,4.0,1.7
Sunderland,1,2,0,2,4,1,Win,R East,1.09,13.0,29.0,1.09,11.0,23.0
Everton,1,3,1,2,5,1,Win,M Oliver,1.45,5.0,7.5,1.42,4.6,7.5
Leicester,1,4,3,1,1,0,Win,M Dean,1.53,4.5,6.5,1.5,4.6,6.75
Stoke,0,1,0,-1,0,0,Loss,A Marriner,4.5,3.8,1.85,4.5,3.75,1.78
Liverpool,0,4,0,-4,0,0,Loss,C Pawson,2.15,3.7,3.5,2.15,3.4,3.4
Bournemouth,1,3,0,3,1,0,Win,A Taylor,1.36,5.5,9.0,1.36,5.25,8.0
