Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Arsenal,0,3,2,-1,0,0,Loss,A Marriner,1.57,4.5,6.0,1.53,4.4,6.0
Chelsea,1,2,3,-1,0,0,Loss,M Dean,4.5,3.75,1.85,4.5,3.5,1.85
Leicester,0,0,0,0,0,0,Draw,R East,2.25,3.29,3.2,2.3,3.4,3.1
Bournemouth,1,2,1,1,1,0,Win,A Taylor,1.72,4.0,5.0,1.72,3.75,5.0
Everton,0,1,1,0,0,0,Draw,J Moss,2.89,3.29,2.62,2.85,3.2,2.6
Swansea,0,0,1,1,1,0,Win,M Oliver,3.1,3.25,2.54,3.0,3.25,2.5
Man City,1,0,1,-1,0,0,Loss,A Marriner,9.0,5.0,1.39,7.25,4.75,1.42
Burnley,1,0,0,0,0,0,Draw,G Scott,1.85,3.5,5.0,1.8,3.5,4.75
Everton,0,2,1,-1,0,0,Loss,L Mason,1.9,3.5,4.75,1.91,3.3,4.5
Leicester,1,1,2,-1,0,0,Loss,J Moss,2.45,3.2,3.25,2.4,3.2,3.1
Crystal Palace,0,0,2,2,1,0,Win,M Atkinson,2.0,3.5,4.2,1.95,3.4,4.1
Brighton,1,2,2,0,0,0,Draw,A Taylor,2.1,3.4,3.9,2.1,3.3,3.75
Liverpool,0,3,0,-3,0,0,Loss,P Tierney,1.2,7.5,17.0,1.2,6.75,14.0
Wolves,0,2,0,-2,0,0,Loss,S Attwell,1.8,3.6,5.25,1.8,3.5,4.75
Chelsea,1,0,3,-3,0,0,Loss,C Pawson,6.0,4.1,1.61,6.0,3.9,1.6
Bournemouth,0,0,0,0,0,0,Draw,L Probert,2.04,3.7,3.75,2.0,3.5,3.75
Newcastle,1,0,0,0,0,0,Draw,C Kavanagh,2.1,3.4,3.9,2.1,3.25,3.75
Man City,0,6,1,-5,0,0,Loss,L Mason,1.11,11.0,29.0,1.11,9.75,21.0
Watford,1,1,1,0,0,0,Draw,S Hooper,2.5,3.3,3.1,2.4,3.3,3.0
Fulham,0,3,2,-1,0,0,Loss,M Oliver,2.62,3.5,2.8,2.55,3.4,2.75
Man United,1,2,2,0,0,0,Draw,K Friend,4.33,3.6,1.95,4.2,3.6,1.87
Tottenham,0,3,1,-2,0,0,Loss,A Taylor,1.36,5.25,9.5,1.36,5.0,8.5
Cardiff,0,1,0,-1,0,0,Loss,J Moss,2.9,3.25,2.7,2.8,3.2,2.6
Arsenal,1,3,2,1,1,0,Win,C Kavanagh,4.1,3.9,1.9,4.0,3.7,1.9
Huddersfield,0,1,3,2,2,0,Win,S Attwell,3.1,3.1,2.6,3.1,3.1,2.5
West Ham,1,1,2,-1,0,0,Loss,C Pawson,2.3,3.5,3.3,2.2,3.5,3.2
Man City,1,1,3,-2,0,0,Loss,P Tierney,10.0,5.25,1.3,9.5,5.0,1.34
Chelsea,0,0,0,0,0,0,Draw,J Moss,1.28,6.5,11.0,1.28,5.75,10.5
Leicester,0,1,2,1,1,0,Win,M Oliver,1.95,3.5,4.33,1.91,3.5,4.1
Everton,1,2,1,1,2,0,Win,G Scott,2.75,3.4,2.7,2.65,3.3,2.7
Crystal Palace,1,1,1,0,0,0,Draw,A Marriner,2.4,3.4,3.2,2.3,3.3,3.2
