Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Bournemouth,0,4,3,-1,0,0,Loss,R Madley,5.0,4.0,1.75,5.0,3.8,1.7
West Ham,1,2,2,0,0,0,Draw,M Clattenburg,1.3,6.0,11.0,1.3,5.75,9.0
Middlesbrough,0,0,3,3,1,0,Win,J Moss,6.0,4.33,1.6,6.0,4.1,1.57
Everton,0,0,1,1,2,0,Win,M Dean,4.2,3.6,1.95,4.1,3.6,1.9
Stoke,1,4,1,3,3,1,Win,M Oliver,1.3,5.5,10.0,1.3,5.25,9.0
Man City,1,1,0,1,4,1,Win,C Pawson,2.35,3.6,3.1,2.3,3.5,3.0
Sunderland,0,2,2,0,0,0,Draw,A Taylor,11.0,5.5,1.33,9.5,5.25,1.33
Man United,0,1,1,0,0,0,Draw,M Oliver,2.15,3.4,3.75,2.15,3.3,3.6
Swansea,1,2,3,-1,0,0,Loss,K Friend,1.22,7.0,15.0,1.2,7.0,13.0
Chelsea,1,1,1,0,0,0,Draw,M Clattenburg,2.65,3.25,2.9,2.6,3.3,2.9
Hull,0,2,0,-2,0,0,Loss,L Mason,8.0,4.75,1.45,7.25,4.5,1.45
Tottenham,1,2,0,2,1,0,Win,A Taylor,2.3,3.4,3.4,2.25,3.4,3.25
Leicester,0,3,1,-2,0,0,Loss,M Oliver,5.5,4.2,1.65,5.75,4.0,1.6
Arsenal,1,3,1,2,1,0,Win,R Madley,2.15,3.6,3.6,2.05,3.5,3.6
Burnley,1,2,1,1,2,0,Win,C Pawson,1.25,6.5,14.0,1.22,6.5,12.5
Man City,0,1,1,0,0,0,Draw,M Oliver,2.0,3.75,3.8,1.95,3.7,3.75
Everton,1,3,1,2,1,0,Win,A Taylor,1.73,3.9,5.25,1.67,4.0,5.0
Bournemouth,1,2,2,0,0,0,Draw,L Mason,1.36,5.25,9.5,1.36,5.25,8.25
Stoke,0,1,2,1,1,0,Win,M Dean,4.0,3.75,1.95,4.0,3.6,1.91
West Brom,0,0,1,1,2,0,Win,J Moss,4.0,3.8,1.8,4.25,3.6,1.8
Crystal Palace,1,1,2,-1,0,0,Loss,A Marriner,1.5,4.75,7.0,1.48,4.33,7.0
Watford,0,0,1,1,1,0,Win,C Pawson,5.75,4.5,1.5,6.0,4.0,1.53
Southampton,1,0,0,0,0,0,Draw,R Madley,1.62,4.2,6.0,1.6,4.1,5.5
West Ham,0,0,4,4,1,0,Win,N Swarbrick,5.25,4.0,1.7,5.5,3.75,1.65
Middlesbrough,1,3,0,3,2,0,Win,M Atkinson,1.14,9.0,23.0,1.11,9.25,26.0
Watford,0,3,3,0,0,0,Draw,A Taylor,6.0,4.2,1.62,6.0,4.2,1.55
Crystal Palace,1,1,0,1,1,0,Win,K Friend,1.36,5.25,9.5,1.34,5.25,9.0
Arsenal,1,4,0,4,2,0,Win,C Pawson,2.15,3.7,3.5,2.15,3.4,3.4
Man City,0,5,0,-5,0,0,Loss,J Moss,1.85,4.0,4.2,1.85,3.8,4.0
Burnley,1,1,1,0,0,0,Draw,R East,1.29,6.0,13.0,1.26,5.75,12.0
Leicester,0,2,3,1,1,0,Win,A Taylor,4.1,3.9,1.91,4.0,3.75,1.87
