Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Brighton,1,1,1,0,0,0,Draw,C Pawson
Newcastle,0,1,0,-1,0,0,Loss,S Hooper
West Ham,1,2,1,1,1,0,Win,A Marriner
Southampton,0,1,1,0,0,0,Draw,A Madley
Norwich,0,1,1,0,0,0,Draw,J Moss
Arsenal,1,1,1,0,0,0,Draw,P Tierney
Man City,0,2,2,0,0,0,Draw,S Scott
Southampton,1,0,2,-2,0,0,Loss,A Marriner
Sheffield United,1,0,1,-1,0,0,Loss,A Madley
Everton,0,3,1,-2,0,0,Loss,D Coote
Newcastle,1,1,0,1,1,0,Win,P Bankes
Brighton,0,0,1,1,2,0,Win,M Atkinson
Watford,1,1,0,1,3,1,Win,A Taylor
Bournemouth,0,0,2,2,4,1,Win,S Attwell
Liverpool,0,4,0,-4,0,0,Loss,M Atkinson
Burnley,1,0,1,-1,0,0,Loss,S Hooper
Leicester,0,3,0,-3,0,0,Loss,J Moss
Chelsea,1,2,3,-1,0,0,Loss,D Coote
Aston Villa,0,2,0,-2,0,0,Loss,M Atkinson
Man United,1,0,2,-2,0,0,Loss,G Scott
Wolves,0,2,0,-2,0,0,Loss,P Bankes
Tottenham,1,1,1,0,0,0,Draw,A Marriner
West Brom,1,0,1,-1,0,0,Loss,C Pawson
Tottenham,0,1,0,-1,0,0,Loss,M Oliver
Bournemouth,1,1,1,0,0,0,Draw,M Dean
Middlesbrough,0,1,2,1,1,0,Win,N Swarbrick
Stoke,1,4,1,3,2,0,Win,C Pawson
Sunderland,0,2,3,1,3,1,Win,A Taylor
Everton,0,1,1,0,0,0,Draw,J Moss
West Ham,1,0,1,-1,0,0,Loss,M Atkinson
Leicester,0,3,1,-2,0,0,Loss,M Oliver
Liverpool,1,2,4,-2,0,0,Loss,A Marriner
Burnley,0,3,2,-1,0,0,Loss,A Taylor
Man City,1,1,2,-1,0,0,Loss,R Madley
Swansea,0,5,4,-1,0,0,Loss,K Friend
Southampton,1,3,0,3,1,0,Win,N Swarbrick
Hull,0,3,3,0,0,0,Draw,M Jones
Man United,1,1,2,-1,0,0,Loss,C Pawson
Chelsea,1,0,1,-1,0,0,Loss,J Moss
Watford,0,1,1,0,0,0,Draw,M Clattenburg
Arsenal,0,2,0,-2,0,0,Loss,A Marriner
Swansea,1,1,2,-1,0,0,Loss,P Tierney
West Ham,0,3,0,-3,0,0,Loss,N Swarbrick
Everton,1,0,1,-1,0,0,Loss,A Taylor
Bournemouth,0,0,2,2,1,0,Win,J Moss
Sunderland,1,0,4,-4,0,0,Loss,A Marriner
Stoke,0,1,0,-1,0,0,Loss,M Atkinson
Middlesbrough,1,1,0,1,1,0,Win,R Madley
West Brom,0,0,2,2,2,0,Win,M Jones
Watford,1,1,0,1,3,1,Win,M Atkinson
Chelsea,0,1,2,1,4,1,Win,C Pawson
Southampton,0,3,1,-2,0,0,Loss,R East
Arsenal,1,3,0,3,1,0,Win,M Oliver
Leicester,1,2,2,0,0,0,Draw,M Dean
Liverpool,0,1,2,1,1,0,Win,A Marriner
Tottenham,1,0,1,-1,0,0,Loss,J Moss
Burnley,1,0,2,-2,0,0,Loss,R Madley
Man City,0,5,0,-5,0,0,Loss,M Oliver
Hull,1,4,0,4,1,0,Win,M Atkinson
Man United,0,2,0,-2,0,0,Loss,A Taylor
