Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Hull,1,3,1,2,1,0,Win,J Moss
Southampton,0,0,3,3,2,0,Win,N Swarbrick
Man United,1,0,0,0,0,0,Draw,M Atkinson
Middlesbrough,0,2,2,0,0,0,Draw,K Friend
Crystal Palace,1,5,0,5,1,0,Win,M Oliver
Leicester,1,2,1,1,2,0,Win,R Madley
West Brom,1,3,1,2,3,1,Win,C Pawson
Watford,0,0,5,5,4,1,Win,J Moss
Tottenham,0,1,0,-1,0,0,Loss,A Taylor
Norwich,1,5,0,5,1,0,Win,G Scott
Arsenal,1,5,0,5,2,0,Win,M Atkinson
Leicester,0,0,1,1,3,1,Win,P Tierney
Southampton,1,0,0,0,0,0,Draw,J Moss
Chelsea,0,0,1,1,1,0,Win,M Oliver
Liverpool,0,2,2,0,0,0,Draw,P Tierney
Burnley,1,2,0,2,1,0,Win,M Atkinson
Brighton,0,1,4,3,2,0,Win,K Friend
Crystal Palace,1,0,2,-2,0,0,Loss,A Marriner
Man United,0,0,2,2,1,0,Win,M Oliver
Everton,1,3,0,3,2,0,Win,S Attwell
West Ham,1,2,1,1,3,1,Win,M Oliver
