Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee
Crystal Palace,1,2,2,0,0,0,Draw,S Attwell
Southampton,0,0,0,0,0,0,Draw,D Coote
Man United,1,1,2,-1,0,0,Loss,M Atkinson
Leeds,0,1,2,1,1,0,Win,K Friend
Brentford,1,1,2,-1,0,0,Loss,P Bankes
Everton,0,0,1,1,1,0,Win,S Attwell
Tottenham,1,1,0,1,2,0,Win,P Tierney
Aston Villa,0,1,4,3,3,1,Win,C Kavanagh
Liverpool,1,3,2,1,4,1,Win,C Pawson
Wolves,0,1,0,-1,0,0,Loss,M Dean
Man City,0,2,1,-1,0,0,Loss,M Oliver
