HomeTeam,AwayTeam,FTHG,FTAG,ScoreDiff,HomeWinStreak,AwayWinStreak,TGSH,TGSA,Results
QPR,Southampton,0,1,-1,0,4,0,1,Loss
Swansea,Sunderland,1,1,0,0,4,0,1,Draw
Tottenham,Arsenal,2,1,1,1,0,0,0,Win
Burnley,West Brom,2,2,0,1,0,0,0,Draw
Newcastle,Stoke,1,1,0,1,0,0,0,Draw
West Ham,Man United,1,1,0,1,0,0,0,Draw
Arsenal,Leicester,2,1,1,2,0,0,0,Win
Hull,Aston Villa,2,0,2,3,0,1,0,Win
Liverpool,Tottenham,3,2,1,4,0,1,0,Win
Sunderland,QPR,0,2,-2,0,1,0,0,Loss
Chelsea,Everton,1,0,1,1,0,0,0,Win
Crystal Palace,Newcastle,1,1,0,1,0,0,0,Draw
Man United,Burnley,3,1,2,2,0,0,0,Win
Southampton,West Ham,0,0,0,2,0,0,0,Draw
Stoke,Man City,1,4,-3,0,1,0,0,Loss
West Brom,Swansea,2,0,2,1,0,0,0,Win
Aston Villa,Stoke,1,2,-1,0,1,0,0,Loss
Chelsea,Burnley,1,1,0,0,1,0,0,Draw
Crystal Palace,Arsenal,1,2,-1,0,2,0,0,Loss
Hull,QPR,2,1,1,1,0,0,0,Win
Man City,Newcastle,5,0,5,2,0,0,0,Win
Sunderland,West Brom,0,0,0,2,0,0,0,Draw
Swansea,Man United,2,1,1,3,0,1,0,Win
Everton,Leicester,2,2,0,3,0,1,0,Draw
Southampton,Liverpool,0,2,-2,0,1,0,0,Loss
Tottenham,West Ham,2,2,0,0,1,0,0,Draw
Burnley,Swansea,0,1,-1,0,2,0,0,Loss
Man United,Sunderland,2,0,2,1,0,0,0,Win
Newcastle,Aston Villa,1,0,1,2,0,0,0,Win
Stoke,Hull,1,0,1,3,0,1,0,Win
West Brom,Southampton,1,0,1,4,0,1,0,Win
West Ham,Crystal Palace,1,3,-2,0,1,0,0,Loss
Arsenal,Everton,2,0,2,1,0,0,0,Win
Liverpool,Man City,2,1,1,2,0,0,0,Win
Aston Villa,West Brom,2,1,1,3,0,1,0,Win
Hull,Sunderland,1,1,0,3,0,1,0,Draw
Southampton,Crystal Palace,1,0,1,4,0,1,0,Win
Liverpool,Burnley,2,0,2,5,0,1,0,Win
Man City,Leicester,2,0,2,6,0,1,0,Win
Newcastle,Man United,0,1,-1,0,1,0,0,Loss
QPR,Arsenal,1,2,-1,0,2,0,0,Loss
Stoke,Everton,2,0,2,1,0,0,0,Win
Tottenham,Swansea,3,2,1,2,0,0,0,Win
West Ham,Chelsea,0,1,-1,0,1,0,0,Loss
QPR,Tottenham,1,2,-1,0,2,0,0,Loss
Arsenal,West Ham,3,0,3,1,0,0,0,Win
Burnley,Man City,1,0,1,2,0,0,0,Win
Crystal Palace,QPR,3,1,2,3,0,1,0,Win
Leicester,Hull,0,0,0,3,0,1,0,Draw
Sunderland,Aston Villa,0,4,-4,0,1,0,0,Loss
West Brom,Stoke,1,0,1,1,0,0,0,Win
Chelsea,Southampton,1,1,0,1,0,0,0,Draw
Everton,Newcastle,3,0,3,2,0,0,0,Win
Man United,Tottenham,3,0,3,3,0,1,0,Win
Swansea,Liverpool,0,1,-1,0,1,0,0,Loss
Aston Villa,Swansea,0,1,-1,0,2,0,0,Loss
Man City,West Brom,3,0,3,1,0,0,0,Win
Newcastle,Arsenal,1,2,-1,0,1,0,0,Loss
Southampton,Burnley,2,0,2,1,0,0,0,Win
Stoke,Crystal Palace,1,2,-1,0,1,0,0,Loss
Tottenham,Leicester,4,3,1,1,0,0,0,Win
West Ham,Sunderland,1,0,1,2,0,0,0,Win
Hull,Chelsea,2,3,-1,0,1,0,0,Loss
Liverpool,Man United,1,2,-1,0,2,0,0,Loss
QPR,Everton,1,2,-1,0,3,0,1,Loss
Arsenal,Liverpool,4,1,3,1,0,0,0,Win
Chelsea,Stoke,2,1,1,2,0,0,0,Win
Everton,Southampton,1,0,1,3,0,1,0,Win
Leicester,West Ham,2,1,1,4,0,1,0,Win
Man United,Aston Villa,3,1,2,5,0,1,0,Win
Swansea,Hull,3,1,2,6,0,1,0,Win
West Brom,QPR,1,4,-3,0,1,0,0,Loss
Burnley,Tottenham,0,0,0,0,1,0,0,Draw
Sunderland,Newcastle,1,0,1,1,0,0,0,Win
Crystal Palace,Man City,2,1,1,2,0,0,0,Win
Aston Villa,QPR,3,3,0,2,0,0,0,Draw
Burnley,Arsenal,0,1,-1,0,1,0,0,Loss
Southampton,Hull,2,0,2,1,0,0,0,Win
Sunderland,Crystal Palace,1,4,-3,0,1,0,0,Loss
Swansea,Everton,1,1,0,0,1,0,0,Draw
Tottenham,Aston Villa,0,1,-1,0,2,0,0,Loss
West Brom,Leicester,2,3,-1,0,3,0,1,Loss
West Ham,Stoke,1,1,0,0,3,0,1,Draw
Man United,Man City,4,2,2,1,0,0,0,Win
QPR,Chelsea,0,1,-1,0,1,0,0,Loss
Liverpool,Newcastle,2,0,2,1,0,0,0,Win
Chelsea,Man United,1,0,1,2,0,0,0,Win
Crystal Palace,West Brom,0,2,-2,0,1,0,0,Loss
Everton,Burnley,1,0,1,1,0,0,0,Win
Leicester,Swansea,2,0,2,2,0,0,0,Win
Stoke,Southampton,2,1,1,3,0,1,0,Win
Man City,West Ham,2,0,2,4,0,1,0,Win
Newcastle,Tottenham,1,3,-2,0,1,0,0,Loss
Burnley,Leicester,0,1,-1,0,2,0,0,Loss
Crystal Palace,Hull,0,2,-2,0,3,0,1,Loss
Man City,Aston Villa,3,2,1,1,0,0,0,Win
Newcastle,Swansea,2,3,-1,0,1,0,0,Loss
QPR,West Ham,0,0,0,0,1,0,0,Draw
Southampton,Tottenham,2,2,0,0,1,0,0,Draw
Stoke,Sunderland,1,1,0,0,1,0,0,Draw
West Brom,Liverpool,0,0,0,0,1,0,0,Draw
Arsenal,Chelsea,0,0,0,0,1,0,0,Draw
Everton,Man United,3,0,3,1,0,0,0,Win
Hull,Liverpool,1,0,1,2,0,0,0,Win
Leicester,Chelsea,1,3,-2,0,1,0,0,Loss
Aston Villa,Everton,3,2,1,1,0,0,0,Win
Leicester,Newcastle,3,0,3,2,0,0,0,Win
Liverpool,QPR,2,1,1,3,0,1,0,Win
Man United,West Brom,0,1,-1,0,1,0,0,Loss
Sunderland,Southampton,2,1,1,1,0,0,0,Win
Swansea,Stoke,2,0,2,2,0,0,0,Win
West Ham,Burnley,1,0,1,3,0,1,0,Win
Chelsea,Crystal Palace,1,0,1,4,0,1,0,Win
Tottenham,Man City,0,1,-1,0,1,0,0,Loss
Hull,Arsenal,1,3,-2,0,2,0,0,Loss
Aston Villa,West Ham,1,0,1,1,0,0,0,Win
Crystal Palace,Man United,1,2,-1,0,1,0,0,Loss
Everton,Sunderland,0,2,-2,0,2,0,0,Loss
Hull,Burnley,0,1,-1,0,3,0,1,Loss
Leicester,Southampton,2,0,2,1,0,0,0,Win
Newcastle,West Brom,1,1,0,1,0,0,0,Draw
Stoke,Tottenham,3,0,3,2,0,0,0,Win
Chelsea,Liverpool,1,1,0,2,0,0,0,Draw
Man City,QPR,6,0,6,3,0,1,0,Win
Arsenal,Swansea,0,1,-1,0,1,0,0,Loss
Burnley,Stoke,0,0,0,0,1,0,0,Draw
Liverpool,Crystal Palace,1,3,-2,0,2,0,0,Loss
QPR,Newcastle,2,1,1,1,0,0,0,Win
Southampton,Aston Villa,6,1,5,2,0,0,0,Win
Sunderland,Leicester,0,0,0,2,0,0,0,Draw
Tottenham,Hull,2,0,2,3,0,1,0,Win
West Ham,Everton,1,2,-1,0,1,0,0,Loss
Man United,Arsenal,1,1,0,0,1,0,0,Draw
Swansea,Man City,2,4,-2,0,2,0,0,Loss
West Brom,Chelsea,3,0,3,1,0,0,0,Win
Arsenal,Sunderland,0,0,0,1,0,0,0,Draw
Arsenal,West Brom,4,1,3,2,0,0,0,Win
Aston Villa,Burnley,0,1,-1,0,1,0,0,Loss
Chelsea,Sunderland,3,1,2,1,0,0,0,Win
Crystal Palace,Swansea,1,0,1,2,0,0,0,Win
Everton,Tottenham,0,1,-1,0,1,0,0,Loss
Hull,Man United,0,0,0,0,1,0,0,Draw
Leicester,QPR,5,1,4,1,0,0,0,Win
Man City,Southampton,2,0,2,2,0,0,0,Win
Newcastle,West Ham,2,0,2,3,0,1,0,Win
Stoke,Liverpool,6,1,5,4,0,1,0,Win
