Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results
Man City,0,2,1,-1,0,0,Loss
Bournemouth,0,1,1,0,0,0,Draw
Arsenal,1,1,1,0,0,0,Draw
Leicester,1,1,4,-3,0,0,Loss
Chelsea,0,1,0,-1,0,0,Loss
Huddersfield,1,1,1,0,0,0,Draw
Tottenham,0,5,2,-3,0,0,Loss
Man United,0,0,0,0,0,0,Draw
Crystal Palace,1,1,2,-1,0,0,Loss
Watford,0,2,2,0,0,0,Draw
Tottenham,1,1,1,0,0,0,Draw
Brighton,1,1,1,0,0,0,Draw
West Brom,0,2,3,1,1,0,Win
Liverpool,1,0,2,-2,0,0,Loss
Burnley,0,1,1,0,0,0,Draw
Stoke,1,0,0,0,0,0,Draw
Newcastle,0,3,0,-3,0,0,Loss
West Ham,0,3,0,-3,0,0,Loss
Arsenal,0,3,2,-1,0,0,Loss
Chelsea,1,2,3,-1,0,0,Loss
Leicester,0,0,0,0,0,0,Draw
Bournemouth,1,2,1,1,1,0,Win
Everton,0,1,1,0,0,0,Draw
Swansea,0,0,1,1,1,0,Win
Man City,1,0,1,-1,0,0,Loss
Burnley,1,0,0,0,0,0,Draw
Everton,0,2,1,-1,0,0,Loss
Leicester,1,1,2,-1,0,0,Loss
Crystal Palace,0,0,2,2,1,0,Win
Brighton,1,2,2,0,0,0,Draw
Liverpool,0,3,0,-3,0,0,Loss
Wolves,0,2,0,-2,0,0,Loss
Chelsea,1,0,3,-3,0,0,Loss
Bournemouth,0,0,0,0,0,0,Draw
Newcastle,1,0,0,0,0,0,Draw
Man City,0,6,1,-5,0,0,Loss
Watford,1,1,1,0,0,0,Draw
Fulham,0,3,2,-1,0,0,Loss
Man United,1,2,2,0,0,0,Draw
Tottenham,0,3,1,-2,0,0,Loss
Cardiff,0,1,0,-1,0,0,Loss
Arsenal,1,3,2,1,1,0,Win
Huddersfield,0,1,3,2,2,0,Win
West Ham,1,1,2,-1,0,0,Loss
Man City,1,1,3,-2,0,0,Loss
Chelsea,0,0,0,0,0,0,Draw
Leicester,0,1,2,1,1,0,Win
Everton,1,2,1,1,2,0,Win
Crystal Palace,1,1,1,0,0,0,Draw
Burnley,0,1,1,0,0,0,Draw
Cardiff,1,1,2,-1,0,0,Loss
Arsenal,0,2,0,-2,0,0,Loss
Fulham,1,2,0,2,1,0,Win
Man United,0,3,2,-1,0,0,Loss
Tottenham,1,2,1,1,1,0,Win
Brighton,0,0,1,1,2,0,Win
Liverpool,1,1,3,-2,0,0,Loss
Wolves,1,3,1,2,1,0,Win
Newcastle,0,3,1,-2,0,0,Loss
Watford,0,1,1,0,0,0,Draw
Bournemouth,1,3,3,0,0,0,Draw
West Ham,0,3,0,-3,0,0,Loss
Huddersfield,1,1,1,0,0,0,Draw
Burnley,0,3,0,-3,0,0,Loss
Liverpool,1,1,2,-1,0,0,Loss
Brighton,0,0,2,2,1,0,Win
Man United,1,1,1,0,0,0,Draw
Sheffield United,0,0,1,1,1,0,Win
Bournemouth,1,1,3,-2,0,0,Loss
Tottenham,0,2,1,-1,0,0,Loss
Chelsea,1,1,4,-3,0,0,Loss
Wolves,0,1,1,0,0,0,Draw
Leicester,1,0,9,-9,0,0,Loss
Man City,0,2,1,-1,0,0,Loss
Everton,1,1,2,-1,0,0,Loss
Arsenal,0,2,2,0,0,0,Draw
Watford,1,2,1,1,1,0,Win
Norwich,1,2,1,1,2,0,Win
Newcastle,0,2,1,-1,0,0,Loss
West Ham,1,0,1,-1,0,0,Loss
Aston Villa,0,1,3,2,1,0,Win
Chelsea,0,0,2,2,2,0,Win
Crystal Palace,1,1,1,0,0,0,Draw
Tottenham,1,1,0,1,1,0,Win
Leicester,0,1,2,1,2,0,Win
Wolves,1,2,3,-1,0,0,Loss
Crystal Palace,0,0,2,2,1,0,Win
Liverpool,0,4,0,-4,0,0,Loss
Burnley,1,1,2,-1,0,0,Loss
Aston Villa,1,2,0,2,1,0,Win
West Ham,0,3,1,-2,0,0,Loss
Newcastle,1,0,1,-1,0,0,Loss
Norwich,0,0,3,3,1,0,Win
Arsenal,1,0,2,-2,0,0,Loss
Watford,0,1,3,2,1,0,Win
Man City,1,1,0,1,2,0,Win
Everton,0,1,1,0,0,0,Draw
Man United,0,2,2,0,0,0,Draw
Brighton,1,1,1,0,0,0,Draw
Bournemouth,0,0,2,2,1,0,Win
Sheffield United,1,3,1,2,2,0,Win
Watford,1,1,1,0,0,0,Draw
Man United,0,2,0,-2,0,0,Loss
Sunderland,1,1,1,0,0,0,Draw
Arsenal,0,2,1,-1,0,0,Loss
Swansea,1,1,0,1,1,0,Win
West Ham,0,0,3,3,2,0,Win
Leicester,0,0,0,0,0,0,Draw
Burnley,1,3,1,2,1,0,Win
Man City,0,1,1,0,0,0,Draw
Chelsea,1,0,2,-2,0,0,Loss
Hull,0,2,1,-1,0,0,Loss
Liverpool,1,0,0,0,0,0,Draw
Everton,1,1,0,1,1,0,Win
Crystal Palace,0,3,0,-3,0,0,Loss
Middlesbrough,1,1,0,1,1,0,Win
Stoke,0,0,0,0,0,0,Draw
Bournemouth,0,1,3,2,1,0,Win
Tottenham,1,1,4,-3,0,0,Loss
West Brom,1,1,2,-1,0,0,Loss
Everton,0,3,0,-3,0,0,Loss
Burnley,0,1,0,-1,0,0,Loss
Leicester,1,3,0,3,1,0,Win
Swansea,0,2,1,-1,0,0,Loss
West Ham,1,1,3,-2,0,0,Loss
Sunderland,0,0,4,4,1,0,Win
Watford,0,3,4,1,2,0,Win
Tottenham,0,2,1,-1,0,0,Loss
Bournemouth,1,0,0,0,0,0,Draw
Crystal Palace,1,3,1,2,1,0,Win
West Brom,0,0,1,1,2,0,Win
Man City,1,0,3,-3,0,0,Loss
